Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
CHEM-102-01,GENERAL CHEMISTRY II,3.0,0.0,WALS,G21,MWF,8:30 AM,9:20 AM,"Schneider, Patrick",Open,CHEM 101,,,MC,35,35
CHEM-102-02,GENERAL CHEMISTRY II,3.0,0.0,WALS,G21,MWF,9:30 AM,10:20 AM,"Santos, Alyssa",Open,CHEM 101,,,MC,35,35
CHEM-302-01,ORGANIC CHEMISTRY II,3.0,0.0,DELA,306,MWF,9:30 AM,10:20 AM,"Ogawa, Motokatsu",Open,CHEM 301,,,MC,36,36
CHEM-402-01,PHYSICAL CHEMISTRY II,3.0,0.0,DELA,316,MWF,10:30 AM,11:20 AM,"Simpson, Scott",Open,CHEM 401,,,MC,18,18
CHEM-427-01,SEMINAR IN CHEMISTRY,0.0,0.0,DELA,306,FM,2:30 PM,3:20 PM,"Rupprecht, Alexander",Open,SENIOR STANDING,,,MC,10,10
CHEM-441-01,ADVANCED INORGANIC CHEMISTRY,3.0,0.0,DELA,306,TTH,10:00 AM,11:15 AM,"Ogawa, Motokatsu",Open,CHEM 302 & CHML 302,,,MC,18,18
CHEM-470-01,MECHANISMS IN BIOLOGICAL SYSTM,3.0,0.0,DELA,316,MWF,9:30 AM,10:20 AM,"Rupprecht, Alexander",Open,CHEM-302,,,MC,18,18
CHEM-498-03,UNDERGRADUATE RESEARCH,1.0,3.0,,,,,,"Simpson, Scott",Open,SOPHOMORE STANDING INSTRUCTOR CONSENT REQUIRED,,,MC,4,4
CHML-102-01,GEN CHEM II LAB,1.0,0.0,WALS,G08,M,1:30 PM,5:30 PM,"Rupprecht, Alexander",Open,,,,MC,16,16
CHML-102-02,GEN CHEM II LAB,1.0,0.0,WALS,G08,T,1:00 PM,5:00 PM,"Santos, Alyssa",Open,,,,MC,16,16
CHML-102-03,GEN CHEM II LAB,1.0,0.0,WALS,G08,W,1:30 PM,5:30 PM,"Schneider, Patrick",Open,,,,MC,16,16
CHML-102-04,GEN CHEM II LAB,1.0,0.0,WALS,G08,TH,1:00 PM,5:00 PM,"Schneider, Patrick",Open,,,,MC,16,16
CHML-302-01,ORGANIC CHEM II LAB,1.0,0.0,WALS,G10,M,1:30 PM,5:30 PM,"Ogawa, Motokatsu",Open,,,,MC,12,12
CHML-302-03,ORGANIC CHEM II LAB,1.0,0.0,WALS,G10,W,1:30 PM,5:30 PM,"Rupprecht, Alexander",Open,,,,MC,12,12
CHML-402-01,PHYSICAL CHEM II LAB,1.0,0.0,DELA,304,TH,1:00 PM,5:00 PM,"Simpson, Scott",Open,,,,MC,14,14
