Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
EDUC-099A-WKSP1,SAFE SCHOOLS WORKSHOP 2/13,0.0,0.0,PLAS,007,T,6:30 PM,8:30 PM,"Morris, Jon",Open,,,,MC,20,20
EDUC-099A-WKSP2,SAFE SCHOOLS WORKSHOP 3/5,0.0,0.0,PLAS,121,T,6:30 PM,8:30 PM,"Morris, Jon",Open,,,,MC,20,20
EDUC-099B-WKSP1,CHILD ABUSE PREVENTION 2/8,0.0,0.0,PLAS,007,TH,5:30 PM,7:30 PM,"Ball, Melissa",Open,UG ONLY,,,MC,20,20
EDUC-099B-WKSP2,CHILD ABUSE PREVENTION 3/14,0.0,0.0,PLAS,124,TH,5:30 PM,7:30 PM,"Ball, Melissa",Open,UG ONLY,,,MC,20,20
EDUC-099D-WKSP1,CULTURAL DIVERSITY WKSP 2/21,0.0,0.0,,,W,6:00 PM,8:00 PM,"Schrems, Tracy",Open,,,crosslisted with EDUC 599D WKSP1,OL,20,20
EDUC-099D-WKSP2,CULTURAL DIVERSITY WKSP 3/13,0.0,0.0,,,W,6:00 PM,8:00 PM,"Schrems, Tracy",Open,,,crosslisted with EDUC 599D WKSP2,OL,40,40
EDUC-099F-WKSP1,ANTI-BULLYING WORKSHOP 3/16,0.0,0.0,PLAS,007,S,9:00 AM,12:00 PM,"Robinson, Jill",Open,,,online portion due by 3/8/24,MC,20,20
EDUC-099F-WKSP2,ANTI-BULLYING WORKSHOP 4/27,0.0,0.0,PLAS,121,S,9:00 AM,12:00 PM,"Robinson, Jill",Open,,,online portion due by 4/19/24,MC,20,20
EDUC-101-01,SOC FND OF AMERICAN EDUCATION,3.0,0.0,DELA,106,MWF,10:30 AM,11:20 AM,"Dombek, Donna",Open,,,,MC,25,25
EDUC-101-02,SOC FND OF AMERICAN EDUCATION,3.0,0.0,PLAS,014,MW,2:30 PM,3:45 PM,"Dombek, Donna",Open,,,,MC,25,25
EDUC-210-01,HUMAN DEV & LEARNING,3.0,0.0,PLAS,014,TTH,11:30 AM,12:45 PM,"Brown, Adam",Open,,,,MC,25,25
EDUC-210-02,HUMAN DEV & LEARNING,3.0,0.0,PLAS,014,TTH,1:00 PM,2:15 PM,"Brown, Adam",Open,,,,MC,25,25
EDUC-212-01,INTERMEDIATE SIGN LANGUAGE,3.0,0.0,PLAS,009,M,5:00 PM,7:30 PM,"Reisner, Angela",Open,,,,MC,15,15
EDUC-212-02,INTERMEDIATE SIGN LANGUAGE,3.0,0.0,PLAS,009,T,5:00 PM,7:30 PM,"Reisner, Angela",Open,,,,MC,15,15
EDUC-214-01,HONORS HUMAN DEV & LEARNING,3.0,0.0,PLAS,011,TTH,10:00 AM,11:15 AM,"Brown, Adam",Open,HONORS STUDENTS ONLY ,,,MC,15,15
EDUC-250-01,ADOLESCENT DEV & LEARNING,3.0,0.0,PLAS,013,MWF,9:30 AM,10:20 AM,"Schrems, Tracy",Open,,,,MC,30,30
EDUC-270-01,ENGLISH LANG LEARNERS K-12,3.0,0.0,PLAS,307,MWF,8:30 AM,9:20 AM,"Fisher, Anne-Claire",Open,EDUC 201 & EDUC 210,,,MC,25,25
EDUC-304-01,"METHODS,MODELS,& MANAGEMENT",3.0,0.0,PLAS,124,MW,12:30 PM,1:45 PM,"Hunt, Christine",Open,"EDUC 201, EDUC 210,  EDUC 220 & SPED 230",,,MC,20,20
EDUC-310-01,M/M:TCH ELEM SS & LANG ARTS,3.0,0.0,PLAS,124,MW,2:00 PM,3:15 PM,"Hunt, Christine",Open,"EDUC 201, EDUC 210, EDUC 220 & SPED 230",,,MC,20,20
EDUC-312X-01,DEVELOPMENTAL READING,3.0,0.0,PLAS,124,MW,3:15 PM,4:29 PM,"Hunt, Christine",Open,"EDUC 201, EDUC 210, EDUC 220 & SPED 230",,,MC,20,20
EDUC-401-01,DIAG/PRESCRIPTIVE READING,3.0,0.0,PLAS,124,TTH,12:30 PM,1:45 PM,"Dombek, Donna",Open,EDUC 304,,,MC,20,20
EDUC-425-01,ORGANIS/ASSESSMT ELEM CLASSRM,3.0,0.0,PLAS,124,TT,2:00 PM,3:15 PM,"Dombek, Donna",Open,EDUC 304,,,MC,20,20
EDUC-430-01,M/M OF TEACHING ELEM STEAM,3.0,0.0,PLAS,124,TTH,3:15 PM,4:30 PM,"Dombek, Donna",Open,,,,MC,20,20
EDUC-432-55,INDEPENDENT STUDY/RESRCH ASST,1.0,3.0,,,,,,"Brown, Adam",Open,INSTRUCTOR CONSENT REQUIRED,,,MC,0,0
EDUC-432-56,INDEPENDENT STUDY/RESRCH ASST,1.0,3.0,,,,,,"Hauser, Rene",Open,INSTRUCTOR CONSENT REQUIRED,,,MC,0,0
EDUC-490-01,ELEM STUDENT TEACHING:PRIMARY ,5.0,0.0,,,MTW,8:00 AM,11:59 AM,"Morris, Jon",Open,,,,MC,25,25
EDUC-491-01,ELEM STUD TEACH:INTERMEDIATE,5.0,0.0,,,MTW,12:00 PM,4:00 PM,"Morris, Jon",Open,,,,MC,25,25
EDUC-499-01,"SR SEM:CUR ISS, ASSESS & REFL",3.0,0.0,,,M,4:30 PM,7:00 PM,"Andrews, Kathryn",Open,,,,OL,25,25
EDUC-499-02,"SR SEM:CUR ISS, ASSESS & REFL",3.0,0.0,,,,,,"Schrems, Tracy",Open,,,,OL,25,25
EDUC-500-F1L01,RESEARCH METHODS IN EDUC PROF,3.0,0.0,,,,,,"Andrews, Kathryn",Open,,,,OL,20,20
EDUC-505-71L01,TECH FOR EDUC PROFESSIONALS,3.0,0.0,,,,,,"Straus, Aaron",Open,,,,OL,20,20
EDUC-599A-WKSP1,SAFE SCHOOLS WKSP 4/16,0.0,0.0,,,T,6:30 PM,8:30 PM,"Morris, Jon",Open,,,,SBUOL,20,20
EDUC-599B-WKSP1,CHILD ABUSE PREV 4/11,0.0,0.0,,,TH,5:30 PM,7:30 PM,"Ball, Melissa",Open,,,,SBUOL,20,20
EDUC-599D-WKSP1,CULT DIVER WKSP 2/21,0.0,0.0,WALS,G21,W,6:00 PM,8:00 PM,"Schrems, Tracy",Open,,,crosslisted with EDUC 099D WKSP1,MC,20,20
EDUC-599J-WKSP1,ANTI-BULLYING WORKSHOP 2/17,0.0,0.0,,,S,9:00 AM,12:00 PM,"Robinson, Jill",Open,,,online portion due by 2/9/24,SBUOL,20,20
EDUC-615-F1L01,USING DATA FOR SCH/IMPROV.,3.0,0.0,,,S,8:30 AM,11:00 AM,"Bynoe, Tyrone",Open,,,course meets syncronously 2/3 3/16 & 4/13,OL,20,20
