Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
MATH-107-01,INTRODUCTION TO STATISTICS,3.0,0.0,DELA,117,MWF,10:30 AM,11:20 AM,"Kwiatkowski, Sally",Open,,,,MC,25,25
MATH-107-02,INTRODUCTION TO STATISTICS,3.0,0.0,DELA,106,MWF,11:30 AM,12:20 PM,"Mobley, Timothy",Open,,,,MC,25,25
MATH-107-03,INTRODUCTION TO STATISTICS,3.0,0.0,DELA,024,MWF,1:30 PM,2:20 PM,"Mobley, Timothy",Open,,,,MC,25,25
MATH-107-04,INTRODUCTION TO STATISTICS,3.0,0.0,DELA,106,TTH,1:00 PM,2:15 PM,"Cashing, Douglas",Open,,,,MC,28,28
MATH-112-01,MATH FOR ELEM EDUC II,3.0,0.0,DELA,106,TTH,10:00 AM,11:15 AM,"Cox, Maureen",Open,MATH 111,,,MC,25,25
MATH-112-02,MATH FOR ELEM EDUC II,3.0,0.0,DELA,117,TTH,1:00 PM,2:15 PM,"Cox, Maureen",Open,MATH 111,,,MC,25,25
MATH-122-01,CALC FOR MGT & SOC SCI,3.0,0.0,DELA,117,MWF,9:30 AM,10:20 AM,"Kwiatkowski, Sally",Open,,,,MC,28,28
MATH-135-01,QUANTITATIVE REASONING,3.0,0.0,DELA,106,MWF,1:30 PM,2:20 PM,"Hill, Christopher",Open,,,,MC,25,25
MATH-145-01,INTRO TO MATH CONCEPTS,3.0,0.0,DELA,116,TTH,11:30 AM,12:45 PM,"Mobley, Timothy",Open,,,,MC,20,20
MATH-145-02,INTRO TO MATH CONCEPTS,3.0,0.0,DELA,316,TTH,11:30 AM,12:45 PM,"Klucznik, Michael",Open,,,,MC,0,0
MATH-151-01,CALCULUS I,4.0,0.0,DELA,116,MWFT,8:30 AM,9:20 AM,"Cox, Maureen",Open,"HIGH SCHOOL ALGEBRA, TRIG, ANALYTIC GEOMETRY",,,MC,20,20
MATH-151-02,CALCULUS I,4.0,0.0,DELA,116,MWFT,9:30 AM,10:20 AM,"Hill, Christopher",Open,"HIGH SCHOOL ALGEBRA, TRIG, ANALYTIC GEOMETRY",,,MC,20,20
MATH-152-01,CALCULUS II,4.0,0.0,DELA,123,TTHF,8:30 AM,9:45 AM,"Klucznik, Michael",Open,MATH 151,,,MC,20,20
MATH-207-01,DISCRETE MATH I,3.0,0.0,DELA,024,MWF,11:30 AM,12:20 PM,"Hill, Christopher",Open,,,,MC,25,25
MATH-211-01,GEOMETRY FOR ELEM EDUC,3.0,0.0,DELA,316,TTH,8:30 AM,9:45 AM,"Mobley, Timothy",Open,MATH 112,,,MC,20,20
MATH-241-01,LINEAR ALGEBRA,3.0,0.0,DELA,316,MWF,11:30 AM,12:20 PM,"Cox, Maureen",Open,MATH 152 & MATH 207,,,MC,20,20
MATH-252-01,ORDINARY DIFF. EQUATIONS,3.0,0.0,DELA,116,TTH,10:00 AM,11:15 AM,"Klucznik, Michael",Open,MATH 152,,,MC,20,20
MATH-492-01,SENIOR COMPREHENSIVE PROJECT,1.0,0.0,,,,,,"Hill, Christopher",Open,,,,MC,2,2
