Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
MKT-301-01,PRINCIPLES OF MARKETING,3.0,0.0,SWAN,109,TTH,8:30 AM,9:45 AM,"Ryan, Kristen",Open,,,,MC,30,30
MKT-301-02,PRINCIPLES OF MARKETING,3.0,0.0,SWAN,109,TTH,10:00 AM,11:15 AM,"Ryan, Kristen",Open,,,,MC,30,30
MKT-301-03,PRINCIPLES OF MARKETING,3.0,0.0,SWAN,109,TTH,11:30 AM,12:45 PM,"Ryan, Kristen",Open,,,,MC,30,30
MKT-302-01,CONSUMER BEHAVIOR,3.0,0.0,SWAN,209,MW,2:30 PM,3:45 PM,"Gratz, Elizabeth",Open,MKT 301,,,MC,25,25
MKT-302-02,CONSUMER BEHAVIOR,3.0,0.0,SWAN,209,MW,4:00 PM,5:15 PM,"Gratz, Elizabeth",Open,MKT 301,,,MC,25,25
MKT-303-01,SALES MMGT & PERSONAL SELLING,3.0,0.0,,,,,,"Girard, John",Open,MKT 301,,,OL,25,25
MKT-303-02,SALES MMGT & PERSONAL SELLING,3.0,0.0,,,,,,"Girard, John",Open,MKT 301,,,OL,25,25
MKT-306-01,INTEGRATED MKT COMMUNICATION,3.0,0.0,PLAS,006,MWF,9:30 AM,10:20 AM,"Trivedi, Dharti",Open,MKT 301,,,MC,25,25
MKT-306-02,INTEGRATED MKT COMMUNICATION,3.0,0.0,PLAS,006,MWF,10:30 AM,11:20 AM,"Trivedi, Dharti",Open,MKT 301,,,MC,25,25
MKT-311-01,AMER. ADVERTISING FEDERATION,3.0,0.0,MUPB,104,TT,4:00 PM,5:15 PM,"Liu, Lu",Open,MKT 301 INSTRUCTOR PERMISSION FEE REQUIRED,,CROSSLISTED WITH SC 430 01 ,MC,25,25
MKT-405-01,INTERNATIONAL MARKETING,3.0,0.0,PLAS,006,MWF,11:30 AM,12:20 PM,"Trivedi, Dharti",Open,MKT 301,,,MC,25,25
MKT-410-01,Contemp Issues and Top. in Mkt,3.0,0.0,PLAS,008,TTH,11:30 AM,12:45 PM,"Liu, Lu",Open,SENIOR STANDING,,,MC,20,20
MKT-410-02,Contemp Issues and Top. in Mkt,3.0,0.0,SWAN,103,TTH,1:00 PM,2:15 PM,"Liu, Lu",Open,SENIOR STANDING,,,MC,25,25
MKT-499FS-01,SP TOP:FOOD SYSTEMS,3.0,0.0,SWAN,109,TTH,2:30 PM,3:45 PM,"Ryan, Kristen",Open,MKT 301,,,MC,25,25
