Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
MU-101-01,CONCERT BAND,1.0,0.0,RQAC,118,T,6:30 PM,9:00 PM,"Spaeth, Isaac",Open,,,,MC,25,25
MU-102-01,CONCERT CHOIR,1.0,0.0,RQAC,211,W,4:00 PM,6:30 PM,"Stevens, Brian",Open,,,,MC,25,25
MU-103-01,JAZZ BAND,1.0,0.0,RQAC,118,M,5:30 PM,7:30 PM,"Sabina, Leslie",Open,,,,MC,25,25
MU-104-01,SMALL ENSEMBLE CHAMBER SINGER,1.0,0.0,RQAC,211,T,4:00 PM,6:00 PM,"Stevens, Brian",Open,,,,MC,15,15
MU-105-01,APPLIED MUSIC - INTERM. PIANO,1.0,0.0,RQAC,203,,,,"Peterson, Laura",Open,,,,MC,8,8
MU-105-02,APPLIED MUSIC ADVANCED PIANO,1.0,0.0,RQAC,203,,,,"Peterson, Laura",Open,,,,MC,8,8
MU-105-03,APPLIED MUSIC INTERM. VOCAL,1.0,0.0,RQAC,203,,,,"Stevens, Brian",Open,,,,MC,8,8
MU-105-04,APPLIED MUSIC ADVANCED VOCAL,1.0,0.0,RQAC,203,,,,"Stevens, Brian",Open,,,,MC,8,8
MU-121-01,MUSIC THEORY I,3.0,0.0,RQAC,211,TTH,8:30 AM,9:45 AM,"Sabina, Leslie",Open,,,,MC,25,25
MU-316-01,HISTORY OF ROCK & ROLL,3.0,0.0,RQAC,211,TTH,2:30 PM,3:45 PM,"Peterson, Laura",Open,,,,MC,25,25
MU-399K-01,SP TOP:STRING/PIANO CHAMBER,3.0,0.0,RQAC,211,TTH,10:00 AM,11:15 AM,"Peterson, Laura",Open,,,,MC,12,12
MU-431-01,MIDI & AUDIO APPLICATIONS,3.0,0.0,RQAC,211,TTH,1:00 PM,2:15 PM,"Sabina, Leslie",Open,,,,MC,10,10
