Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
PHED-110-01,OUTDOOR PURSUITS,3.0,0.0,BUTL,2A,MW,2:30 PM,3:45 PM,"Brawdy, Paul",Open,,,,MC,0,0
PHED-111-01,FITNESS ACTIVITIES,3.0,0.0,BUTL,2A,MWF,11:30 AM,12:20 PM,"Brawdy, Paul",Open,,,,MC,15,15
PHED-111-02,FITNESS ACTIVITIES,3.0,0.0,BUTL,2A,MWF,8:30 AM,9:20 AM,"Brawdy, Paul",Open,,,,MC,12,12
PHED-208-01,PREVENTION/CARE INJURIES,3.0,0.0,RECE,002,M,6:00 PM,8:40 PM,"Hobler, Christopher",Open,BIO 212,,,MC,20,20
PHED-308C-01,THEORY/TECHNIQUES OF COACHING,3.0,0.0,RECE,002,TTH,2:30 PM,3:45 PM,"Scraba, Paula",Open,,,,MC,25,25
PHED-310-01,PHIL/PRINC INTERSCHOLASTIC ATH,3.0,0.0,RECE,002,WM,4:00 PM,6:40 PM,"Scraba, Paula",Open,,,,MC,25,25
PHED-313-01,WOMEN IN SPORTS,3.0,0.0,RECE,002,MW,2:30 PM,3:45 PM,"Scraba, Paula",Open,,,crosslisted with WS 313 01 ,MC,30,30
PHED-315-01,SPORTS PYSCHOLOGY FOR COACHES,3.0,0.0,PLAS,009,MWF,11:30 AM,12:20 PM,"Oh, Daekyun",Open,,,,MC,25,25
PHED-403-01,MOTOR BEHAV:TO LEARN TO GROW,3.0,0.0,RECE,002,MWF,10:30 AM,11:20 AM,"Scraba, Paula",Open,,,,MC,25,25
PHED-408-01,SECONDARY M/M IN PHYS ED,3.0,0.0,BUTL,2A,MWF,9:30 AM,10:20 AM,"Oh, Daekyun",Open,,,,MC,15,15
PHED-413D-55,DIR STUDY INTERNSHIP II,1.0,3.0,,,,,,"Scraba, Paula",Open,"Junior/Senior Status, requires dept chair permission to register",,,,0,0
PHED-413E-01,DIR. STUDY-KINDERKETICS,1.0,0.0,BUTL,GYM,WW,11:30 AM,12:20 PM,"Scraba, Paula",Open,,,,MC,30,30
PHED-415-01,PSYCHO-SOCIAL ASPECTS,3.0,0.0,SWAN,203,TTH,1:00 PM,2:15 PM,"Brawdy, Paul",Open,,,,MC,25,25
PHED-490-01,PHYS ED STUD.TCH: ELEMENTARY,5.0,0.0,,,MTW,,,"Morris, Jon",Open,,,,MC,15,15
PHED-491-01,PHYS ED STUD TCH: SECONDARY,5.0,0.0,,,MTW,,,"Morris, Jon",Open,,,,MC,15,15
PHED-493-01,SEMINAR IN PHYSICAL EDUCATION,3.0,0.0,BUTL,2A,T,6:00 PM,8:40 PM,"Oh, Daekyun",Open,,,,MC,15,15
PHED-493-55,SEMINAR IN PHYSICAL EDUCATION,3.0,0.0,,,,,,"Oh, Daekyun",Open,,,,MC,0,0
