Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
POLS-102-O01,AMERICAN POLITICS,3.0,0.0,,,,,,"Perry, Matthew",Open,,,,OLEAN,0,0
POLS-103-01,INTERNATIONAL RELATIONS,3.0,0.0,PLAS,306,MW,5:30 PM,6:45 PM,"Kubal, Mary Rose",Open,,,,MC,25,25
POLS-103-02,INTERNATIONAL RELATIONS,3.0,0.0,,,,,,"Zabad, Ibrahim",Open,,,,OL,18,18
POLS-203-01,COMP. POLITICAL SYSTEMS,3.0,0.0,MUPB,107,TTH,10:00 AM,11:15 AM,"Kubal, Mary Rose",Open,,,,MC,25,25
POLS-307-01,QUANT RESEARCH METHODS IN PS,3.0,0.0,PLAS,007,MWF,9:30 AM,10:20 AM,"Tillman, Elizabeth",Open,,,,MC,25,25
POLS-330-01,INT`L POLITICAL ECONOMY,3.0,0.0,PLAS,121,TTH,1:00 PM,2:15 PM,"Kubal, Mary Rose",Open,,,,MC,25,25
POLS-356-01,LATIN AMERICA & THE U. S.,3.0,0.0,PLAS,006,MWF,1:30 PM,2:20 PM,"Kubal, Mary Rose",Open,,,,MC,25,25
POLS-365-01,POL PARTIES & INTEREST GROUPS,3.0,0.0,PLAS,007,MWF,11:30 AM,12:20 PM,"Tillman, Elizabeth",Open,,,,MC,25,25
POLS-421-01,CONSTIT. LAW II:POL STRUCT.,3.0,0.0,PLAS,007,MWF,10:30 AM,11:20 AM,"Tillman, Elizabeth",Open,,,,MC,25,25
POLS-492-01,ALBANY INTERNSHIP,15.0,0.0,,,,,,"Kubal, Mary Rose",Open,,,,MC,0,0
