Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
SC-210-01,SOCIAL MEDIA IN SOC/BUSINESS,3.0,0.0,MUPB,107,MW,10:30 AM,11:20 AM,"Hoffmann, Pauline",Open,,,course meets in person on MW and online on F,MC,20,20
SC-220-01,DIGITAL CONTENT & ENGAGEMENT,3.0,0.0,MUPB,103,MW,2:30 PM,3:45 PM,"Sackett, Scott",Open,,,,MC,18,18
SC-301-01,STRATEGIC WRTG & PROF COMM,3.0,0.0,,,,,,"Matthews, Tammy",Open,,,,OL,15,15
SC-301-02,STRATEGIC WRTG & PROF COMM,3.0,0.0,MUPB,103,MW,5:30 PM,6:45 PM,"Jones-Kelley, Michael",Open,,,,MC,15,15
SC-301-03,STRATEGIC WRTG & PROF COMM,3.0,0.0,MUPB,103,MW,4:00 PM,5:15 PM,"Jones-Kelley, Michael",Open,,,,MC,15,15
SC-301-04,STRATEGIC WRTG & PROF COMM,3.0,0.0,MUPB,103,TTH,2:30 PM,3:45 PM,"Jones-Kelley, Michael",Open,,,,MC,15,15
SC-301-05,STRATEGIC WRTG & PROF COMM,3.0,0.0,MUPB,105,MWF,1:30 PM,2:20 PM,"McNall, Carole",Open,,,,MC,15,15
SC-301-06,STRATEGIC WRTG & PROF COMM,3.0,0.0,PLAS,202,MW,2:30 PM,3:45 PM,"Bulszewicz, Anna",Open,,,,MC,15,15
SC-301-07,STRATEGIC WRTG & PROF COMM,3.0,0.0,MUPB,105,W,4:00 PM,6:30 PM,"Specht, Shannon",Open,,,,MC,15,15
SC-301-08,STRATEGIC WRTG & PROF COMM,3.0,0.0,MUPB,104,TTH,11:30 AM,12:45 PM,"Bartimole, John",Open,,,,MC,15,15
SC-303-01,DIGITAL MARKETING,3.0,0.0,,,,,,"DeSimone, Kimberly",Open,,,,OL,20,20
SC-320-55,PRINC & PRACT OF PUB RELATIONS,3.0,0.0,,,,,,"Hoffmann, Pauline",Open,,,,MC,0,0
SC-401B-01,SP TOP: AD AGENCY LEADERSHIP,3.0,0.0,MUPB,104,TT,4:00 PM,5:15 PM,"Jones-Kelley, Michael",Open,,,crosslisted with SC 430 01 ,MC,3,3
SC-430-01,AAF CASE STUDY,3.0,0.0,MUPB,104,TT,4:00 PM,5:15 PM,"Jones-Kelley, Michael",Open,INSTRUCTOR CONSENT REQUIRED,,CROSSLISTED WITH MKT 311 01 ,MC,10,10
SC-499-01,COMPREHENSIVE EXPERIENCE,2.0,0.0,,,,,,"Hoffmann, Pauline",Open,To be taken Senior Fall,,,MC,20,20
