Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
SOC-101-01,INTROD. SOCIOLOGY,3.0,0.0,PLAS,006,TTH,10:00 AM,11:15 AM,"Blake, David",Open,,,,MC,20,20
SOC-101-02,INTROD. SOCIOLOGY,3.0,0.0,PLAS,201,MW,2:30 PM,3:45 PM,"Blake, David",Open,,,,MC,20,20
SOC-102-01,SOCIAL PROBLEMS,3.0,0.0,PLAS,013,TTH,10:00 AM,11:15 AM,"Zawicki, Kathy",Open,,,,MC,20,20
SOC-102-02,SOCIAL PROBLEMS,3.0,0.0,DELA,117,TS,2:30 PM,5:00 PM,"Zawicki, Kathy",Open,,,,MC,20,20
SOC-103-01,INTRODUCTION TO SOCIAL WORK,3.0,0.0,PLAS,007,W,5:00 PM,7:30 PM,"McCall, Sonya",Open,,,,MC,20,20
SOC-205-01,SOCIOLOGY OF INEQUALITY,3.0,0.0,PLAS,014,TTH,2:30 PM,3:45 PM,"Gross, Benjamin",Open,,,,MC,20,20
SOC-206-01,QUALITATIVE RESEARCH METHODS,3.0,0.0,PLAS,202,TTH,2:30 PM,3:45 PM,"Blake, David",Open,SOC 101,,,MC,18,18
SOC-207-01,QUANTITATIVE METHODS,3.0,0.0,DELA,106,TTH,11:30 AM,12:45 PM,"Gavin, Samantha",Open,"SOC 101, SOC 206 & MATH 107",,,MC,15,15
SOC-208-01,CONTEMPORARY SOCIAL THEORIES,3.0,0.0,PLAS,011,TTH,8:30 AM,9:45 AM,"Zawicki, Kathy",Open,SOC 101,,,MC,15,15
SOC-301-55,CURR.SOC.PROB:FIELDWORK STUDY,3.0,0.0,,,,,,"Dombek, Andrew",Open,SOC 103 or SOC 307,,,MC,0,0
SOC-308-01,JUVENILE DELINQUENCY,3.0,0.0,PLAS,014,MWF,10:30 AM,11:20 AM,"Dombek, Andrew",Open,,,,MC,25,25
SOC-320-01,SOCIAL PSYCH.OF ADDICTIONS,3.0,0.0,PLAS,008,MWF,8:30 AM,9:20 AM,"Elenchin, William",Open,SECTION 1 - SOCIOLOGY MAJORS ONLY,,,MC,15,15
SOC-320-02,SOCIAL PSYCH.OF ADDICTIONS,3.0,0.0,PLAS,008,MWF,9:30 AM,10:20 AM,"Elenchin, William",Open,SECTION 1 - SOCIOLOGY MAJORS ONLY,,,MC,15,15
SOC-321-01,SOCIAL MEDIA & SOCIETY,3.0,0.0,,,,,,"Gross, Benjamin",Open,,,,OL,25,25
SOC-412-01,SENIOR SEMINAR,3.0,0.0,LIBR,LWRSEMRM,TTH,11:30 AM,12:45 PM,"Blake, David",Open,"Soc 206, Soc 207, and Either Soc 208 or Crm 209",,,MC,10,10
