Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
ACCT-201-01,INTRO TO FINANCIAL ACCT,3.0,0.0,SWAN,203,MWF,9:30 AM,10:20 AM,"McLanahan, Michael",Open,,,,MC,20,20
ACCT-201-02,INTRO TO FINANCIAL ACCT,3.0,0.0,SWAN,203,MWF,11:30 AM,12:20 PM,"McLanahan, Michael",Open,,,,MC,20,20
ACCT-202-01,INTRO TO MANAGERIAL ACCT,3.0,0.0,PLAS,014,TTH,10:00 AM,11:15 AM,"Bysiek, Edward",Open,ACCT 201,,,MC,30,30
ACCT-202-03,INTRO TO MANAGERIAL ACCT,3.0,0.0,SWAN,209,MWF,8:30 AM,9:20 AM,"Schachner, Samantha",Open,ACCT 201,,,MC,30,30
ACCT-202-04,INTRO TO MANAGERIAL ACCT,3.0,0.0,SWAN,101,MWF,10:30 AM,11:20 AM,"Schachner, Samantha",Open,ACCT 201,,,MC,30,30
ACCT-202-05,INTRO TO MANAGERIAL ACCT,3.0,0.0,SWAN,209,TTH,8:30 AM,9:45 AM,"McLanahan, Michael",Open,ACCT 201,,,MC,30,30
ACCT-202-06,INTRO TO MANAGERIAL ACCT,3.0,0.0,SWAN,103,TTH,11:30 AM,12:45 PM,"Rankin, Kathleen",Open,ACCT 201,,,MC,30,30
ACCT-202-07,INTRO TO MANAGERIAL ACCT,3.0,0.0,SWAN,103,TTH,2:30 PM,3:45 PM,"McLanahan, Michael",Open,ACCT 201,,crosslisted with ACCT 202H 01,MC,15,15
ACCT-202H-01,INTRO: MANAGERIAL ACCTNG HON.,3.0,0.0,SWAN,103,TTH,2:30 PM,3:45 PM,"McLanahan, Michael",Open,,,crosslisted with ACCT 202 07,MC,10,10
ACCT-306-01,GOVERNMENTAL & NONPROFIT ACCT,3.0,0.0,PLAS,014,TTH,8:30 AM,9:45 AM,"Bysiek, Edward",Open,,,,MC,30,30
ACCT-308-01,ADV MANAGERIAL ACCOUNTING,3.0,0.0,SWAN,101,TTH,1:00 PM,2:15 PM,"Schachner, Samantha",Open,ACCT 202,,,MC,25,25
ACCT-308-02,ADV MANAGERIAL ACCOUNTING,3.0,0.0,SWAN,101,TTH,2:30 PM,3:45 PM,"Schachner, Samantha",Open,ACCT 202,,,MC,25,25
ACCT-362-01,INTERM FIN REPORT II,3.0,0.0,SWAN,101,MW,2:30 PM,3:45 PM,"Rankin, Kathleen",Open,ACCT 305 AND ACCT 361,,,MC,25,25
ACCT-362-02,INTERM FIN REPORT II,3.0,0.0,SWAN,203,TTH,2:30 PM,3:45 PM,"Rankin, Kathleen",Open,ACCT 305 AND ACCT 361,,,MC,25,25
ACCT-404-01,ADVANCED TAXES,3.0,0.0,SWAN,205,TTH,10:00 AM,11:15 AM,"King, Darwin",Open,ACCT 310,,,MC,20,20
ACCT-404-02,ADVANCED TAXES,3.0,0.0,SWAN,205,TTH,11:30 AM,12:45 PM,"King, Darwin",Open,ACCT 310,,,MC,20,20
ACCT-499-55,INDEPENDENT STUDY,1.0,3.0,,,,,,"Schachner, Samantha",Open,,,,MC,0,0
