Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
ADED-306-01,MANAGING INST/BEHAV SEC EDUC,3.0,0.0,PLAS,007,MW,4:00 PM,6:30 PM,"Schrems, Tracy",Open,,,,MC,25,25
ADED-330-01,METH/MOD/MGMT OF INSTRUCTION,2.0,0.0,PLAS,306,MW,10:30 AM,11:29 AM,"Chimbel, Bethanne",Open,,,,MC,20,20
ADED-333-01,SECONDARY ENGLISH METHODS,1.0,0.0,,,T,5:00 PM,6:00 PM,"Tederous, Meaghan",Open,,,,OL,12,12
ADED-337-01,SECONDARY L.O.T.E. METHODS,1.0,0.0,PLAS,121,T,5:00 PM,6:00 PM,"Cashing, Elizabeth",Open,,,,MC,10,10
ADED-338-01,SECONDARY SOC STUDIES METHODS,1.0,0.0,PLAS,005,T,5:00 PM,6:00 PM,"Conroy, Michael",Open,,,,MC,15,15
ADED-340-01,SECONDARY MATH METHODS,1.0,0.0,,,T,5:00 PM,6:00 PM,"Yeager, Tamra",Open,,,,OL,10,10
ADED-354-55,PROBLEMS OF LITERACY,3.0,0.0,,,,,,"Schrems, Tracy",Open,,,,MC,0,0
ADED-360-01,LITERACY IN THE CONTENT AREA,3.0,0.0,PLAS,013,MWF,8:30 AM,9:20 AM,"Schrems, Tracy",Open,,,,MC,25,25
ADED-406-01,EVALUATING LEARNERS &LEARNING,3.0,0.0,PLAS,306,MWF,9:30 AM,10:20 AM,"Chimbel, Bethanne",Open,,,,MC,20,20
ADED-495-01,SEC.STUD.TEACHING:GRADES 7-9,5.0,0.0,,,MTW,8:00 AM,11:59 AM,"Morris, Jon",Open,,,,MC,30,30
ADED-496-01,SEC.STUD.TEACHING:GRADES10-12,5.0,0.0,,,MTW,12:00 PM,4:00 PM,"Morris, Jon",Open,,,,MC,30,30
ADED-528-72L01,LEGAL ISSUES FOR TEACHERS,3.0,0.0,,,,,,"Kirkwood, Pamela",Open,,,,OL,25,25
ADED-540-F1L01,EVAL.LEARNERS/LEARNING,3.0,0.0,,,,,,"Chimbel, Bethanne",Open,,,,OL,20,20
ADED-588-F1L01,SECONDARY STUDENT TEACHING,3.0,0.0,,,MTW,12:00 PM,4:00 PM,"Morris, Jon",Open,,,,OL,75,75
