Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
CE-500-72L01,RESEARCH METHODS IN EDUC PROF,3.0,0.0,,,,,,"Hindman, Margaret",Open,,,,SBUOL,20,20
CE-500-72L02,RESEARCH METHODS IN EDUC PROF,3.0,0.0,,,,,,"Swarts, Gabriel",Open,,,,SBUOL,20,20
CE-500-72L03,RESEARCH METHODS IN EDUC PROF,3.0,0.0,,,,,,"Staff, ",Open,,,,SBUOL,20,20
CE-501-71L01,COUN EDUC PROGRAM ORIENTATION,0.0,0.0,,,,,,"Luedke, Ashley",Open,,,,SBUOL,60,60
CE-510-71L01,INTRO PROF. COUNSELING,3.0,0.0,,,,,,"Scherer, Rebecca",Open,,,,SBUOL,20,20
CE-510-71L02,INTRO PROF. COUNSELING,3.0,0.0,,,,,,"Scherer, Rebecca",Open,,,,SBUOL,20,20
CE-510-71L03,INTRO PROF. COUNSELING,3.0,0.0,,,,,,"Mason, Wesley",Open,,,,SBUOL,20,20
CE-511-72L01,ADV HUMAN GROWTH/DEVELOPMNT,3.0,0.0,,,,,,"Mason, Wesley",Open,,,,SBUOL,20,20
CE-511-72L02,ADV HUMAN GROWTH/DEVELOPMNT,3.0,0.0,,,,,,"Mason, Wesley",Open,,,,SBUOL,20,20
CE-530-71L01,THEORIES/TECHN OF COUNSELING,3.0,0.0,,,,,,"Smith, Nathaniel",Open,,,,SBUOL,25,25
CE-530-71L02,THEORIES/TECHN OF COUNSELING,3.0,0.0,,,,,,"Smith, Nathaniel",Open,,,,SBUOL,25,25
CE-540-72L01,DIAGNOSIS OF PSYCHOPATHOLOGY,3.0,0.0,,,,,,"Kicior, Nicholas",Open,,,,SBUOL,20,20
CE-540-72L02,DIAGNOSIS OF PSYCHOPATHOLOGY,3.0,0.0,,,,,,"Kicior, Nicholas",Open,,,,SBUOL,20,20
CE-550-71L01,GROUP COUNSELING,3.0,0.0,,,T,7:00 PM,8:00 PM,"Castillo, Jaime",Open,,,,SBUOL,20,20
CE-550-71L02,GROUP COUNSELING,3.0,0.0,,,,,,"Kicior, Nicholas",Open,,,,SBUOL,20,20
CE-560-71L01,PSYCH TESTING & ASSESSMENT,3.0,0.0,,,,,,"DeCarlo, Keli",Open,,,,SBUOL,20,20
CE-560-71L02,PSYCH TESTING & ASSESSMENT,3.0,0.0,,,,,,"DeCarlo, Keli",Open,,,,SBUOL,20,20
CE-570-71L01,CAREER COUNSELING,3.0,0.0,,,,,,"Luke, Charles",Open,,,,SBUOL,20,20
CE-570-71L02,CAREER COUNSELING,3.0,0.0,,,,,,"Luke, Charles",Open,,,,SBUOL,20,20
CE-609-71L01,INTRO TO CLINICAL PRACTICE,0.0,0.0,,,,,,"Smith, Nathaniel",Open,,,,SBUOL,60,60
