Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
CS-131-01,OBJECT ORIENTED PROGRAMMING,4.0,0.0,LIBR,LAB,TTH,8:30 AM,9:45 AM,"Schultz, Peter",Open,,,,MC,25,25
CS-132-01,ALGORITHMS & DATA STRUCTURES,4.0,0.0,WALS,203,MWF,3:30 PM,4:20 PM,"Smith, Alexander",Open,CS 131,,,MC,18,18
CS-243-01,DATABASE AND BIG DATA,3.0,0.0,WALS,203,TTH,11:30 AM,12:45 PM,"Sayed Sakkaff, Zahmeeth",Open,,,,MC,16,16
CS-254-01,COMPUTER NETWORKS,4.0,0.0,WALS,203,MWF,10:30 AM,11:20 AM,"Bopp, Christopher",Open,CS 132,,,MC,20,20
CS-258-01,MACHINE LEARNING,3.0,0.0,WALS,104,TTH,10:00 AM,11:15 AM,"Sayed Sakkaff, Zahmeeth",Open,,,,MC,16,16
CS-390-01,SOFTWARE ENGINEERING,3.0,0.0,WALS,103,MWF,11:30 AM,12:20 PM,"Bopp, Christopher",Open,,,,MC,20,20
CS-402-01,RESEARCH PRESENTATION,1.0,0.0,WALS,103,T,1:30 PM,2:20 PM,"Bopp, Christopher",Open,,,,MC,20,20
CS-491-01,INTERNSHIP IN COMPUTER SCI.,1.0,3.0,,,,,,"Bopp, Christopher",Open,,,,MC,10,10
CS-492-55,IND.STUDY IN COMP.SCIENCE,1.0,3.0,,,,,,"Bopp, Christopher",Open,,,,MC,0,0
CSL-131-01,OBJECT ORIENTED PROGRAM LAB,0.0,0.0,LIBR,LAB,M,1:30 PM,3:30 PM,"Schultz, Peter",Open,,,,MC,15,15
CSL-132-01,ALGORITHMS & DATA STRUCT LAB,0.0,0.0,WALS,104,W,4:30 PM,6:30 PM,"Smith, Alexander",Open,,,,MC,18,18
CSL-243-01,DATABASE AND BIG DATA LAB,1.0,0.0,WALS,101,T,3:30 PM,5:30 PM,"Sayed Sakkaff, Zahmeeth",Open,,,,MC,16,16
CSL-254-01,COMPUTER NETWORKS LAB,0.0,0.0,WALS,101,W,3:30 PM,5:30 PM,"Bopp, Christopher",Open,,,,MC,16,16
CSL-254-55,COMPUTER NETWORKS LAB,0.0,0.0,,,,,,"Bopp, Christopher",Open,,,,MC,0,0
CSL-258-01,MACHINE LEARNING LAB,1.0,0.0,WALS,101,TH,3:30 PM,5:30 PM,"Sayed Sakkaff, Zahmeeth",Open,,,,MC,16,16
CSL-390-01,SOFTWARE ENGINEERING LAB,0.0,0.0,WALS,103,M,3:30 PM,5:30 PM,"Bopp, Christopher",Open,,,,MC,20,20
