Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
CYB-202-01,CYBERSECURITY ETHICS,3.0,0.0,WALS,203,TTH,2:30 PM,3:45 PM,"Foerst, Anne",Open,,,,MC,20,20
CYB-354-01,INTRO TO NETWORK SECTURITY,3.0,0.0,WALS,101,MWF,9:30 AM,10:20 AM,"Kellogg, Brian",Open,,,,MC,16,16
CYB-411-01,INTRO TO PENETRATION TESTING,3.0,0.0,WALS,101,TTH,10:00 AM,11:15 AM,"Kellogg, Brian",Open,,,,MC,16,16
CYB-491-01,INTERNSHIP IN CYBERSECURITY,1.0,3.0,,,,,,"Kellogg, Brian",Open,,,,MC,25,25
CYB-501-72L01,SYSTEM ANALYSIS & INSTRUMENT,3.0,0.0,,,,,,"Kellogg, Brian",Open,,,,SBUOL,20,20
CYB-512-71L01,ENTERPRISE NETWORKS,3.0,0.0,,,,,,"O'Connell, Mark",Open,,,,SBUOL,20,20
CYB-515-71L01,ENTERPRISE SECURITY,3.0,0.0,,,,,,"Kellogg, Brian",Open,,,,SBUOL,15,15
CYB-516-72L01,ADVANCED CYBERSECURITY THREAT,3.0,0.0,,,,,,"Ghotbi, Pouya",Open,,,,SBUOL,20,20
CYB-518-71L01,ENTERPRISE RISK MANAGEMENT,3.0,0.0,,,,,,"O'Connell, Mark",Open,,,,SBUOL,20,20
CYB-526-72L01,MACHINE LEARNING IN CYB,3.0,0.0,,,,,,"Amanzadeh, Mohammad",Open,,,,SBUOL,20,20
CYBL-354-01,INTRO TO NETWORK SECURITY LAB,1.0,0.0,WALS,101,T,1:30 PM,3:30 PM,"Kellogg, Brian",Open,,,,MC,16,16
CYBL-354-55,INTRO TO NETWORK SECURITY LAB,1.0,0.0,,,,,,"Kellogg, Brian",Open,,,,MC,0,0
CYBL-411-01,INTRO TO PENETRATION TEST LAB,1.0,0.0,WALS,101,TH,1:30 PM,3:29 PM,"Kellogg, Brian",Open,,,,MC,16,16
CYBL-411-55,INTRO TO PENETRATION TEST LAB,1.0,0.0,,,,,,"Kellogg, Brian",Open,,,,MC,0,0
