Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
ENG-101-01,WRITING I,3.0,0.0,PLAS,009,TTH,8:30 AM,9:45 AM,"Sullivan, Sara",Open,,,,MC,20,20
ENG-101-02,WRITING I,3.0,0.0,PLAS,009,TTH,10:00 AM,11:15 AM,"Sullivan, Sara",Open,,,,MC,20,20
ENG-101-03,WRITING I,3.0,0.0,PLAS,009,TTH,11:30 AM,12:45 PM,"Sullivan, Sara",Open,,,,MC,20,20
ENG-101-04,WRITING I,3.0,0.0,WALS,204,TTH,11:30 AM,12:45 PM,"King, Matt",Open,,,,MC,20,20
ENG-101-05,WRITING I,3.0,0.0,PLAS,009,TTH,1:00 PM,2:15 PM,"Sullivan, Sara",Open,,,,MC,20,20
ENG-101-06,WRITING I,3.0,0.0,WALS,204,TTH,1:00 PM,2:15 PM,"King, Matt",Open,,,,MC,20,20
ENG-101-07,WRITING I,3.0,0.0,PLAS,007,TTH,2:30 PM,3:45 PM,"Gilliland, Donald",Open,,,,MC,20,20
ENG-102-01,WRITING II,3.0,0.0,MUPB,103,MWF,8:30 AM,9:20 AM,"Smith, Caitlin",Open,,,,MC,20,20
ENG-102-02,WRITING II,3.0,0.0,MUPB,103,MWF,9:30 AM,10:20 AM,"Smith, Caitlin",Open,,,,MC,20,20
ENG-102-03,WRITING II,3.0,0.0,PLAS,010,MWF,9:30 AM,10:20 AM,"Mulryan, Sandra",Open,,,,MC,20,20
ENG-102-04,WRITING II,3.0,0.0,PLAS,010,MWF,10:30 AM,11:20 AM,"Mulryan, Sandra",Open,,,,MC,20,20
ENG-102-05,WRITING II,3.0,0.0,MUPB,105,MWF,11:30 AM,12:20 PM,"Colton, Adam",Open,,,,MC,20,20
ENG-102-06,WRITING II,3.0,0.0,PLAS,007,TTH,8:30 AM,9:45 AM,"Ellis, Daniel",Open,,,,MC,20,20
