Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
FIN-210-01,MONEY MANAGEMENT SEMINAR,1.0,0.0,SWAN,101,MW,4:00 PM,5:15 PM,"Mahar, James",Open,,,"CROSSLISTED WITH FIN 410 01, FIN 420 01 & MBA 630 F1F01",MC,20,20
FIN-301-01,CORPORATION FINANCE,3.0,0.0,SWAN,101,TTH,8:30 AM,9:45 AM,"Amira, Khaled",Open,"ECO 101, ACCT 201 & QMX 211",,,MC,30,30
FIN-301-02,CORPORATION FINANCE,3.0,0.0,SWAN,101,TTH,10:00 AM,11:15 AM,"Amira, Khaled",Open,"ECO 101, ACCT 201 & QMX 211",,,MC,30,30
FIN-301-03,CORPORATION FINANCE,3.0,0.0,SWAN,101,TTH,11:30 AM,12:45 PM,"Amira, Khaled",Open,"ECO 101, ACCT 201 & QMX 211",,,MC,30,30
FIN-322-01,FINANCIAL INST. & MARKETS,3.0,0.0,SWAN,101,MWF,11:30 AM,12:20 PM,"Tripathi, Janhavi Shankar",Open,FIN 321,,,MC,30,30
FIN-322-02,FINANCIAL INST. & MARKETS,3.0,0.0,SWAN,101,MWF,1:30 PM,2:20 PM,"Tripathi, Janhavi Shankar",Open,FIN 321,,,MC,30,30
FIN-402-01,PROBLEMS IN FINANCE,3.0,0.0,SWAN,109,MW,2:30 PM,3:45 PM,"Mahar, James",Open,FIN 401,,,MC,48,48
FIN-402-55,PROBLEMS IN FINANCE,3.0,0.0,,,,,,"Mahar, James",Open,FIN 401,,,MC,35,35
FIN-410-01,STUDENT INVESTMENT FUND,3.0,0.0,SWAN,101,MW,4:00 PM,5:15 PM,"Mahar, James",Open,FIN 301,,"CROSSLISTED WITH FIN 210 01, FIN 420 01, & MBA 630 F1F01",MC,20,20
FIN-420-01,STUDENT INVESTMENT FUND II,3.0,0.0,SWAN,101,MW,4:00 PM,5:15 PM,"Mahar, James",Open,FIN 410 ,,"CROSSLISTED WITH FIN 210 01, FIN 410 01, & MBA 630 F1F01",MC,20,20
FIN-421-01,INVESTMENTS,3.0,0.0,SWAN,209,TTH,10:00 AM,11:15 AM,"Gallagher, Michael",Open,FIN 301,,,MC,25,25
FIN-421-02,INVESTMENTS,3.0,0.0,SWAN,209,TTH,11:30 AM,12:45 PM,"Gallagher, Michael",Open,FIN 301,,,MC,25,25
FIN-499L-71H01,GLOBAL BUS TRAVEL SEM LONDON,3.0,0.0,,,,,,"Amira, Khaled",Open,,,"This course introduces students to London as a transcendent center of global business, where you will meet business leaders, tour the boardrooms and trading floors of leading firms, and be immersed in British business culture.  Includes 3 in-person meetings on campus and an a travel component during the spring break:  Feb 25 - March 3 2024",MC,15,15
