Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
HIST-102-01,EUROPE SINCE 1815,3.0,0.0,PLAS,005,MWF,9:30 AM,10:20 AM,"Henning, Lori",Open,,,,MC,30,30
HIST-102-02,EUROPE SINCE 1815,3.0,0.0,PLAS,014,MWF,11:30 AM,12:20 PM,"Henning, Lori",Open,,,,MC,30,30
HIST-202-01,U.S. HISTORY SINCE 1865,3.0,0.0,PLAS,005,MWF,10:30 AM,11:20 AM,"Pitt, Steven",Open,,,,MC,30,30
HIST-202-02,U.S. HISTORY SINCE 1865,3.0,0.0,PLAS,005,MWF,11:30 AM,12:20 PM,"Pitt, Steven",Open,,,,MC,30,30
HIST-202-03,U.S. HISTORY SINCE 1865,3.0,0.0,PLAS,201,MWF,10:30 AM,11:20 AM,"Payne, Phillip",Open,,,,MC,30,30
HIST-251-01,WORLD HISTORY SINCE 1450,3.0,0.0,PLAS,013,MWF,1:30 PM,2:20 PM,"Dalton, William",Open,,,,MC,30,30
HIST-251-02,WORLD HISTORY SINCE 1450,3.0,0.0,PLAS,201,MWF,11:30 AM,12:20 PM,"Dalton, William",Open,,,,MC,30,30
HIST-327-01,FRENCH REVOLUTION/NAPOLEON,3.0,0.0,PLAS,306,TTH,2:30 PM,3:45 PM,"Henning, Lori",Open,INTENSIVE COURSE HISTORY MAJORS ONLY,,,MC,20,20
HIST-394C-01,WOMEN IN EAST ASIA,3.0,0.0,PLAS,013,MWF,10:30 AM,11:20 AM,"Dalton, William",Open,,,crosslisted with WS 366 01 ,MC,10,10
HIST-394W-01,SP TOP:HISTORY THROUGH FILM,3.0,0.0,PLAS,011,WM,2:30 PM,5:00 PM,"Dalton, William",Open,,,crosslisted with IS 350 01 ,MC,11,11
HIST-419-01,DIGITAL HIST & ARCHIVAL PRAC,3.0,0.0,LIBR,LAB,MWF,11:30 AM,12:20 PM,"Payne, Phillip",Open,,,,MC,20,20
HIST-450-01,PIRACY DURING THE AGE OF SAIL,3.0,0.0,LIBR,LWRSEMRM,MW,2:30 PM,3:45 PM,"Pitt, Steven",Open,,,,MC,20,20
HIST-492A-01,VIETNAM (AHRP),3.0,0.0,PLAS,219,T,4:30 PM,7:00 PM,"Henning, Lori",Open,,,,MC,20,20
HIST-494S-01, EMPIRES IN WORLD HISTORY,3.0,0.0,PLAS,008,MWF,1:30 PM,2:20 PM,"Pitt, Steven",Open,,,,MC,20,20
