Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
JMC-101-01,COMMUNICATION TODAY,3.0,0.0,MUPB,105,MWF,10:30 AM,11:20 AM,"McNall, Carole",Open,,,,MC,30,30
JMC-110-01,PROFESSIONAL WRITING I,3.0,0.0,MUPB,106,TT,8:30 AM,9:45 AM,"Mackowski, Christopher",Open,,,,MC,15,15
JMC-110-55,PROFESSIONAL WRITING I,3.0,0.0,,,,,,"Lee, Anne",Open,,,,MC,0,0
JMC-111-01,PROFESSIONAL WRITING II,3.0,0.0,MUPB,106,TT,10:00 AM,11:15 AM,"Mackowski, Christopher",Open,JMC-110,,,MC,15,15
JMC-111-02,PROFESSIONAL WRITING II,3.0,0.0,MUPB,103,TTH,1:00 PM,2:15 PM,"Walker, Tara",Open,JMC-110,,,MC,15,15
JMC-111-03,PROFESSIONAL WRITING II,3.0,0.0,MUPB,104,MWF,9:30 AM,10:20 AM,"Lee, Anne",Open,JMC-110,,,MC,15,15
JMC-111-04,PROFESSIONAL WRITING II,3.0,0.0,MUPB,104,MWF,10:30 AM,11:20 AM,"Lee, Anne",Open,JMC-110,,,MC,15,15
JMC-111-05,PROFESSIONAL WRITING II,3.0,0.0,MUPB,106,MWF,11:30 AM,12:20 PM,"Vecchio, Patrick",Open,JMC-110,,,MC,15,15
JMC-201-01,NEWSWRITING & REPORTING I,3.0,0.0,MUPB,106,TT,4:00 PM,5:15 PM,"Gilliland, Donald",Open,,,,MC,15,15
JMC-202-01,NEWSWRITING & REPORTING II,3.0,0.0,MUPB,106,MW,2:30 PM,3:45 PM,"Wilkins, Dennis",Open,JMC 201,,,MC,15,15
JMC-202-02,NEWSWRITING & REPORTING II,3.0,0.0,MUPB,106,MW,4:00 PM,5:15 PM,"Wilkins, Dennis",Open,JMC 201,,,MC,15,15
JMC-245-01,VIDEO PRODUCTION,3.0,0.0,MUPB,104,MW,4:00 PM,5:15 PM,"Sackett, Scott",Open,,,,MC,15,15
JMC-263-01,SPORTS PHOTOJOURNALISM,3.0,0.0,MUPB,104,W,5:30 PM,8:00 PM,"Melvin, Craig",Open,,,,MC,15,15
JMC-300-01,MEDIA LAW AND ETHICS,3.0,0.0,MUPB,105,TTH,10:00 AM,11:15 AM,"McNall, Carole",Open,JUNIORS/SENIORS,,,MC,25,25
JMC-340-01,BROADCAST REPORTING,3.0,0.0,MUPB,108,MWF,1:30 PM,2:20 PM,"Bulszewicz, Anna",Open,,,,MC,15,15
JMC-341-01,SPORTS TV PRODUCTION I,3.0,0.0,MUPB,107,TH,5:30 PM,8:00 PM,"Karnath, Erick",Open,,,CROSSLISTED WITH JMC 342 01 ,MC,15,15
JMC-342-01,SPORTS TV PRODUCTION II,3.0,0.0,MUPB,107,TH,5:30 PM,8:00 PM,"Karnath, Erick",Open,,,CROSSLISTED WITH JMC 341 01 ,MC,15,15
JMC-345-01,ON-AIR ANNOUNCING,3.0,0.0,MUPB,108,MWF,11:30 AM,12:20 PM,"Bulszewicz, Anna",Open,,,,MC,15,15
