Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
MS-102-01,BASIC LEADERSHIP,1.0,0.0,MUPB,106,TH,1:00 PM,2:15 PM,"Manning, Brandon",Open,,,,MC,20,20
MS-102-02,BASIC LEADERSHIP,1.0,0.0,PLAS,008,T,2:30 PM,3:45 PM,"Manning, Brandon",Open,,,,MC,20,20
MS-102L-01,BASIC LEADERSHIP LAB,1.0,0.0,DOHA,026,TH,4:00 PM,6:00 PM,"Manning, Brandon",Open,,,,MC,30,30
MS-202-01,LEADERSHIP & TEAMWORK,2.0,0.0,PLAS,008,T,10:00 AM,11:15 AM,"Manning, Brandon",Open,,,,MC,20,20
MS-202-02,LEADERSHIP & TEAMWORK,2.0,0.0,PLAS,008,TH,2:30 PM,3:45 PM,"Manning, Brandon",Open,,,,MC,20,20
MS-202L-01,LEADERSHIP & TEAMWORK LAB,1.0,0.0,DOHA,026,TH,4:00 PM,6:00 PM,"Manning, Brandon",Open,,,,MC,20,20
MS-301-55,LEADERSHIP/PROB.SOLVING,3.0,0.0,,,,,,"Luckie, John",Open,,,,MC,0,0
MS-301L-55,LEADERSHIP/PROB.SOLVING LAB,1.0,0.0,,,,,,"Luckie, John",Open,,,,MC,0,0
MS-302-01,LEADERSHIP AND ETHICS,3.0,0.0,PLAS,011,TT,2:30 PM,3:45 PM,"Beshears, Jeffrey",Open,MS 301,,,MC,20,20
MS-302L-01,LEADERSHIP AND ETHICS LAB,1.0,0.0,DOHA,026,TH,4:00 PM,6:00 PM,"Beshears, Jeffrey",Open,MS-301L,,,MC,20,20
MS-402-01,OFFICERSHIP,3.0,0.0,DOHA,026,TT,1:00 PM,2:15 PM,"Luckie, John",Open,MS 401,,,MC,20,20
MS-402L-01,OFFICERSHIP LAB,1.0,0.0,DOHA,026,TH,4:00 PM,6:00 PM,"Luckie, John",Open,MS-401L,,,MC,20,20
