Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
PHIL-102-01,INTRO TO PHILOSOPHY,3.0,0.0,PLAS,011,TTH,11:30 AM,12:45 PM,"Woodruff, Russell",Open,,,,MC,25,25
PHIL-102-02,INTRO TO PHILOSOPHY,3.0,0.0,PLAS,011,TTH,1:00 PM,2:15 PM,"Woodruff, Russell",Open,,,,MC,25,25
PHIL-102-03,INTRO TO PHILOSOPHY,3.0,0.0,PLAS,307,MWF,9:30 AM,10:20 AM,"Setman, Stephen",Open,,,,MC,25,25
PHIL-102-04,INTRO TO PHILOSOPHY,3.0,0.0,PLAS,307,MWF,10:30 AM,11:20 AM,"Setman, Stephen",Open,,,,MC,25,25
PHIL-102-05,INTRO TO PHILOSOPHY,3.0,0.0,PLAS,307,MWF,11:30 AM,12:20 PM,"Setman, Stephen",Open,,,,MC,25,25
PHIL-102-06,INTRO TO PHILOSOPHY,3.0,0.0,PLAS,010,TTH,11:30 AM,12:45 PM,"Caliva-Smart, Joshua",Open,,,,MC,25,25
PHIL-102-07,INTRO TO PHILOSOPHY,3.0,0.0,PLAS,010,TTH,1:00 PM,2:15 PM,"Caliva-Smart, Joshua",Open,,,,MC,25,25
PHIL-102-08,INTRO TO PHILOSOPHY,3.0,0.0,PLAS,010,TTH,2:30 PM,3:45 PM,"Caliva-Smart, Joshua",Open,,,,MC,25,25
PHIL-102-09,INTRO TO PHILOSOPHY,3.0,0.0,WALS,201,TS,2:30 PM,5:00 PM,"Shapiro, Robert",Open,,,,MC,25,25
PHIL-104-01,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,307,TTH,8:30 AM,9:45 AM,"Gillham, Alex",Open,,,,MC,25,25
PHIL-104-02,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,307,TTH,10:00 AM,11:15 AM,"Gillham, Alex",Open,,,,MC,25,25
PHIL-104-03,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,201,TTH,10:00 AM,11:15 AM,"Tate, Daniel",Open,,,,MC,25,25
PHIL-104-04,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,201,TTH,11:30 AM,12:45 PM,"Tate, Daniel",Open,,,,MC,25,25
PHIL-104-05,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,005,MW,2:30 PM,3:45 PM,"McDivitt, Heather",Open,,,,MC,25,25
PHIL-104-06,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,005,MW,4:00 PM,5:15 PM,"McDivitt, Heather",Open,,,,MC,25,25
PHIL-104-07,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,013,TTH,1:00 PM,2:15 PM,"McDivitt, Heather",Open,,,,MC,25,25
PHIL-104-08,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,201,TTH,8:30 AM,9:45 AM,"Dexter, Adam",Open,,,,MC,25,25
PHIL-104-09,INTRODUCTION TO ETHICS,3.0,0.0,PLAS,306,TT,7:30 PM,8:45 PM,"Dexter, Adam",Open,,,,MC,25,25
PHIL-301-01,ETHICS,3.0,0.0,PLAS,008,MW,2:30 PM,3:45 PM,"Setman, Stephen",Open,,,,MC,25,25
PHIL-305-01,THE PHILOSOPHY OF SPORT,3.0,0.0,PLAS,306,MW,4:00 PM,5:15 PM,"Woodruff, Russell",Open,,,,MC,25,25
PHIL-312-01,SYMBOLIC LOGIC,3.0,0.0,PLAS,307,TTH,11:30 AM,12:45 PM,"Gillham, Alex",Open,,,,MC,25,25
PHIL-326-01,LEGAL REASONING,3.0,0.0,PLAS,008,T,6:00 PM,8:30 PM,"Ploetz, Ronald",Open,,,,MC,25,25
PHIL-328-01,PARALEGAL INTERNSHIP,3.0,6.0,,,,,,"Gillham, Alex",Open,,,,MC,5,5
PHIL-338-01,HEALTH CARE ETHICS,3.0,0.0,PLAS,013,TTH,11:30 AM,12:45 PM,"McDivitt, Heather",Open,,,,MC,22,22
PHIL-338-02,HEALTH CARE ETHICS,3.0,0.0,PLAS,005,MW,5:30 PM,6:45 PM,"McDivitt, Heather",Open,,,,MC,25,25
PHIL-361-01,Evil and Modern Thought,3.0,0.0,PLAS,009,TTH,2:30 PM,3:45 PM,"Tate, Daniel",Open,,,,MC,25,25
