Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
PSYC-101-01,INTRO TO PSYCHOLOGY,3.0,0.0,DELA,123,MWF,9:30 AM,10:20 AM,"Luo, Chuan",Open,,,,MC,20,20
PSYC-101-02,INTRO TO PSYCHOLOGY,3.0,0.0,DELA,123,MWF,10:30 AM,11:20 AM,"Luo, Chuan",Open,,,,MC,20,20
PSYC-101-03,INTRO TO PSYCHOLOGY,3.0,0.0,DELA,024,TTH,1:00 PM,2:15 PM,"Privitera, Gregory",Open,,,,MC,20,20
PSYC-101-04,INTRO TO PSYCHOLOGY,3.0,0.0,DELA,024,TTH,2:30 PM,3:45 PM,"Privitera, Gregory",Open,,,,MC,20,20
PSYC-102-01,AN INTRO TO BIOPSYCHOLOGY,3.0,0.0,DELA,123,MW,2:30 PM,3:45 PM,"Hager, Audrey",Open,,,,MC,16,16
PSYC-102-02,AN INTRO TO BIOPSYCHOLOGY,3.0,0.0,DELA,123,MW,4:00 PM,5:15 PM,"Hager, Audrey",Open,,,,MC,16,16
PSYC-202-01,PSYC RES: METHODS/STATS II,3.0,0.0,WALS,G21,MW,2:30 PM,3:45 PM,"Privitera, Gregory",Open,PSYC 201,,,MC,40,40
PSYC-202-55,PSYC RES: METHODS/STATS II,3.0,0.0,,,,,,"Privitera, Gregory",Open,PSYC 201,,,MC,0,0
PSYC-213-01,CHILD &ADOLESCENT DEVELOPMENT,3.0,0.0,DELA,123,TTH,11:30 AM,12:45 PM,"Strasser, Irene",Open,,,,MC,18,18
PSYC-213-02,CHILD &ADOLESCENT DEVELOPMENT,3.0,0.0,DELA,116,TTH,2:30 PM,3:45 PM,"Strasser, Irene",Open,,,,MC,18,18
PSYC-230-01,COGNITION,3.0,0.0,DELA,123,MWF,1:30 PM,2:20 PM,"Luo, Chuan",Open,,,,MC,18,18
PSYC-230-02,COGNITION,3.0,0.0,DELA,123,MWF,11:30 AM,12:20 PM,"Luo, Chuan",Open,,,,MC,18,18
PSYC-311-01,CYBERPSYCHOLOGY,3.0,0.0,DELA,123,TTH,10:00 AM,11:15 AM,"Strasser, Irene",Open,,,,MC,20,20
PSYC-420M-01,SP.TOP:NEUROPSYCHOLOGY,3.0,0.0,DELA,113,TTH,1:00 PM,2:15 PM,"Hager, Audrey",Open,PSYC 101 or BIO 105,,,MC,16,16
PSYC-433-01,PSYCH OF PERSONALITY,3.0,0.0,DELA,024,TTH,10:00 AM,11:15 AM,"Vogel, Stephanie",Open,PSYC 101,,,MC,16,16
PSYC-433-02,PSYCH OF PERSONALITY,3.0,0.0,DELA,024,TTH,11:30 AM,12:45 PM,"Vogel, Stephanie",Open,PSYC 101,,,MC,16,16
PSYC-469-01,INTR CLNIC/METH-HUM.SERV,3.0,0.0,DELA,123,TTH,2:30 PM,3:45 PM,"Vogel, Stephanie",Open,PSYC 101 SOPHOMORE STANDING,,,MC,16,16
PSYC-478-01,FIELDWORK-TEACHING ASST,1.0,3.0,,,,,,"Privitera, Gregory",Open,INSTRUCTOR CONSENT REQUIRED,,,MC,0,0
PSYC-478-02,FIELDWORK-TEACHING ASST,1.0,3.0,,,,,,"Strasser, Irene",Open,INSTRUCTOR CONSENT REQUIRED,,,MC,0,0
PSYC-481-55,IND.STY: SOCIAL PSYCH,1.0,3.0,,,,,,"Privitera, Gregory",Open,INSTRUCTOR CONSENT REQUIRED,,,MC,0,0
PSYC-483-55,IND.STUDY-DEVELOPMNTL PSYCH.,1.0,3.0,,,,,,"Strasser, Irene",Open,INSTRUCTOR CONSENT REQUIRED,,,MC,0,0
