Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
SPAN-102-01,ELEM. SPANISH II,3.0,0.0,MUPB,107,MWF,9:30 AM,10:20 AM,"Warner, Jeffrey",Open,SPAN 101,,,MC,25,25
SPAN-102-02,ELEM. SPANISH II,3.0,0.0,PLAS,009,MWF,10:30 AM,11:20 AM,"Simone, Leigh",Open,SPAN 101,,,MC,25,25
SPAN-102-03,ELEM. SPANISH II,3.0,0.0,PLAS,013,MWF,11:30 AM,12:20 PM,"Warner, Jeffrey",Open,SPAN 101,,,MC,25,25
SPAN-102-04,ELEM. SPANISH II,3.0,0.0,DELA,116,TTH,1:00 PM,2:15 PM,"Simone, Leigh",Open,SPAN 101,,,MC,25,25
SPAN-202-01,INTERMED SPANISH II,3.0,0.0,PLAS,201,MWF,8:30 AM,9:20 AM,"Warner, Jeffrey",Open,SPAN 201,,,MC,20,20
SPAN-202-02,INTERMED SPANISH II,3.0,0.0,PLAS,009,MWF,9:30 AM,10:20 AM,"Simone, Leigh",Open,SPAN 201,,,MC,20,20
SPAN-202-03,INTERMED SPANISH II,3.0,0.0,PLAS,306,TTH,10:00 AM,11:15 AM,"Medrano, Jose'",Open,SPAN 201,,,MC,20,20
SPAN-202-04,INTERMED SPANISH II,3.0,0.0,MUPB,105,TTH,11:30 AM,12:45 PM,"Warner, Jeffrey",Open,SPAN 201,,,MC,20,20
SPAN-202-05,INTERMED SPANISH II,3.0,0.0,PLAS,306,TTH,1:00 PM,2:15 PM,"Medrano, Jose'",Open,SPAN 201,,,MC,20,20
SPAN-202-06,INTERMED SPANISH II,3.0,0.0,PLAS,007,TT,4:00 PM,5:15 PM,"Kuhn, Bernard",Open,SPAN 201,,,MC,20,20
SPAN-302M-01,SPANISH FOR HEALTHCARE PROFES,3.0,0.0,FRHA,102,MW,1:30 PM,2:45 PM,"Cellini, Alva",Open,,,,MC,16,16
SPAN-303-01,ADV GRAMMAR & COMP I,3.0,0.0,PLAS,306,MWF,11:30 AM,12:20 PM,"Medrano, Jose'",Open,SPAN 301,,,MC,15,15
SPAN-325-55,HISPANIC WOMEN WRITERS,3.0,0.0,,,,,,"Cellini, Alva",Open,,,,MC,0,0
SPAN-327-01,INDIGENOUS VOICES OF LATIN AM,3.0,0.0,PLAS,306,TTH,11:30 AM,12:45 PM,"Medrano, Jose'",Open,This course is offered in English,,,MC,15,15
SPAN-335M-55,SP TOP:SOCIAL CHANGE IN MEX,3.0,0.0,,,,,,"Medrano, Jose'",Open,,,,MC,0,0
SPAN-450-01,COMPREHENSIVE EXAM,0.0,0.0,,,,,,"Simone, Leigh",Open,,,,MC,15,15
